76truck,truck_pickup
76truckwindow,truck_pickup_window
ac2,airconditioner
antenna,antenna_urban
ashtray,ashtray_standing
atm,atm
barrels,barrel_orange
barrels_cr,barrel_brown
barrels_rt,barrel_blue
bbuilding,set_office_building1
bcar,car_bombed
bench,bench_locker
boabuilding,set_office_building2
boat,boat_metal
boxes,box_misc
btree,tree_broken
building_one,set_office_building3
building_seven,set_office_building4
building_two,set_office_building5
bulb,light_bulb
bush_noleaves,bush_noleaves
butanetank,butanetank
cadaver,cadaver_withhead
cadaver2,cadaver_nohead
canopy,canopy
canopyv02,canopy_withroller
ccar,car_police
chimney,chimney_large
chimneyMC,chimney_bigtop
chimneysmall,chimney_small
chimneyv1,chimney_redbrick
chimneyv2,chimney_brown
chimneyv3,chimney_metalic
chopper,helicopter_green
choppercg,helicopter_orange
cielingfan,fan_ceiling
citl,lamp_citylight_small
clothesbin,clothesbin_onroller
conduit_pipev01,conduit_pipev01
conduitbox,conduitbox
couch,couch_blue
couch2,couch_green
couch3,couch_leather
coveredcar,car_covered
dolly,dolly
dumpsterclosed,dumpster_lidclosed_blue
dumpsterclosedgreen,dumpster_lidclosed_green
dumpsteropen,dumpster_lidopen_blue
gentest,generator
grill,grill
handdryer,bathroom_handdryer
hatchback,car_hatchback_blue
hatchback_glass,car_hatchback_glass
jap_rock,rock_japan
JAPANESE_azaela,bush_japan_azaela
JAPANESE_BUSH_01,bush_japan_bush01
JAPANESE_FERN_01,bush_japan_fern_01
JAPANESE_MAPLE_ORANGE,tree_japan_maple_orange
JAPANESE_MAPLE_RED,tree_japan_maple_red
JAPANESE_ROCKS,rock_japan_rocks2
JAPANESE_tree_azaela,tree_japan_azaela
japanese_tree_azalea,tree_japan_azaela2
JAPANESE_TREE_LARCH,tree_japan_larch
JAPANESE_TREE_NOLEAVES,tree_japan_noleaves
JAPANESE_TREE_ROUND,tree_japan_round
japarch,arch_japan
kstand,sword_japan_stand
labeqv03,lab_machine
lada,car_lada_blue
ladawindow,car_lada_window
lampd,lamp_portable_standup
lampv01,lamp_portable_small
lantern,lantern_japan
lboat,boat_lifeboat
lightbulb,light_bulb2
lightbulb_red,light_bulb_red
logv1,log
lshrub,bush_shrub_little
meat,meat_hanging
microscope,lab_microscope
midsplantv1,bush_palmplant
ochair,chair_office
oscilliscope,lab_oscilliscope
palm,tree_palm
pbooth,phonebooth
pipeconnectorv01,conduit_pipejoints
pipes_big,pipe_double
pipev01,pipe_set1
plaintree,tree_plain
planterv01,bush_planter
plantv1,bush_fern_small
popcornmachine,popcornmachine
popshop,set_popcorn_shop
potv1,pot
radio,radio
railing,set_railing_vostok
register,cashregister
register2,cashregister
registerdamaged,cashregister_damaged
ROLLER_01,canopy_roller
rubblev01,rubble_set
satdish,satellite_dish
sfountain,soda_fountain
shrubv01,bush_shrubv01
socbag,soccer_bag
socshop,set_soccer_shop
sovietstatue,statue_soviet
splantv01,bush_plant2_small
statuesnow,statue_snow
stinger,missile_stinger
struck,truck_snow
stump2,tree_stump2
t9,tree_tree10
tbag1,trash_trashbag
toilet,bathroom_toilet
toilet_dirty,bathroom_toilet_dirty
towels,bathroom_towels
trailer_chassis,trailer_chassis
trashv01,trash
trashv2,trash_trashcan
trash2,trash_02
trash,trash
trashwheel,dumpster_wheels
tree_noleaves,tree_noleaves
tree25,tree_tree2
treegroup,tree_planes
treev1,tree_tree3
treev2,tree_tree4
treev251,tree_tree5
treev251v2,tree_tree6
treev3,tree_tree7
treev5,tree_tree8
treev6,tree_tree9
urinal,bathroom_urinal
washer,washingmachine
wlight,light_industrial1
wlight2,light_industrial2
underbridge,set_underbridge
chimneyMC,chimney_MC
barrelMC,barrel_wooden
signMC,sign_shop
streetlamp,lamp_streetlamp
ropes,set_rope_handles
bath_faucet,bathroom_faucet
fire_eting,fireextiguisher
bicycle,bicycle
cafe_chair,chair_cafe
building_market,set_building_market
buildings,set_building
rocks_rt,rock_japan_rooftop
blackhawk,helicopter_blackhawk
canal_terrain,set_canal
chick,animal_chicken
filecabinet,filecabinet
tpterrain,set_trailerpark_terrain
cafe_table,table_cafe


JAP_FERN_01,bush_japan_fern_01
air_conditionunit,airconditioner
canterrain,set_canal
chick,animal_chicken
geneator,generator
life_boat,boat_lifeboat
lightbulb,light_bulb
metal_boat,boat_metal
pipeset1,pipe_set1
satellight_dish,satellite_dish
trashbag,trash_trashbag
trashv01,trash
tree3,tree_tree3
tree8,tree_tree8
couch2,couch_green
dumpster_lidopenblue,dumpster_lidopen_blue
orangebarrels,barrel_orange
portable_lamp_standup,lamp_portable_standum
portable_lampsmall,lamp_portable_small
snow_truck,truck_snow
trashcan,trash_trashcan
washing_machine,washingmachine
ac2,airconditioner
office_chair1,chair_office





